bug,degree,in_degree,out_degree,betweenness,pagerank,average_neighbor_degree,clustering,square_clustering,closeness_centrality,degree_centrality,out_degree_centrality,in_degree_centrality,betweenness_centrality,load_centrality,number_of_cliques,core_number,number_ancestors,number_descendants,eccentricity,ripple_degree,Size,Ties,Pairs,Densit,nWeakC,pWeakC,2StepR,2StepP,ReachE,Broker,nBroke,nClose,EgoBet,nEgoBe
1,9,2,7,0,0.000277474,30.14285714,0.857142857,0.041037736,0.001427552,0.006423983,0.004996431,0.001427552,0,0,3,7,2,548,549,549,6,2,30,6.67,4,66.67,662,47.25,81.13,14,0.93,2,0,0
1,11,7,4,0.000575981,0.00071481,12,0.345454545,0.007461125,0.221058341,0.007851535,0.002855103,0.004996431,0.000575981,0.000582714,6,8,998,542,543,543,343,100399,117306,85.59,1,0.29,1037,74.02,0.64,8453.5,0.14,100399,1.58,0
0,35,26,9,0.001800865,0.000588125,24.66666667,0.678030303,0.019885958,0.274170315,0.024982156,0.006423983,0.018558173,0.001800865,0.001767391,13,31,998,542,543,543,45,839,1980,42.37,1,2.22,908,64.81,10.39,570.5,0.58,839,4.98,0
0,182,167,15,4.15E-07,0.000441159,82.06666667,0.971878727,0.562340586,0.199293286,0.129907209,0.010706638,0.119200571,4.15E-07,2.86E-07,34,181,457,1041,1042,1042,5,3,20,15,2,40,190,13.56,76.61,8.5,0.85,3,1,5
0,664,165,499,0.001094984,0.000415435,275.5851703,0.735242261,0.074309745,0.198761837,0.473947181,0.356174161,0.117773019,0.001094984,0.001029877,5712,440,457,1041,1042,1042,38,628,1406,44.67,1,2.63,837,59.74,13.83,389,0.55,628,2.58,0
0,66,57,9,0.000216985,0.000823228,68.22222222,0.690639873,0.00734404,0.280553917,0.047109208,0.006423983,0.040685225,0.000216985,0.000211541,24,53,998,542,543,543,473,143303,223256,64.19,1,0.21,1050,74.95,0.51,39976.5,0.36,143303,44.21,0
0,1,1,0,0,0.000231275,0,0,0,0.143003326,0.000713776,0,0.000713776,0,0,1,1,458,0,1,1,2,1,2,50,1,50,51,3.64,92.73,0.5,0.5,1,0,0
0,2,2,0,0,0.000346024,0,1,1,0.198546836,0.001427552,0,0.001427552,0,0,1,2,1000,0,1,1,31,287,930,30.86,2,6.45,729,52.03,41.54,321.5,0.69,287,86,9
0,777,325,452,0.000109304,0.000613903,301.2389381,0.89623643,0.343253703,0.253092322,0.554603854,0.322626695,0.231977159,0.000109304,0.000100172,6832,550,457,1041,1042,1042,5,0,20,0,5,100,697,49.75,38.83,10,1,0,0,0
0,4,4,0,0,0.000734947,0,0.833333333,0.992424242,0.194524587,0.002855103,0,0.002855103,0,0,2,4,999,0,1,1,53,575,2756,20.86,1,1.89,874,62.38,11.7,1090.5,0.79,575,338.35,12
1,55,30,25,1.34E-05,0.000986801,29.12,0.774680604,0.011463619,0.253539096,0.039257673,0.017844397,0.021413276,1.34E-05,1.24E-05,84,39,998,542,543,543,473,143303,223256,64.19,1,0.21,1050,74.95,0.51,39976.5,0.36,143303,44.21,0
0,745,325,420,2.02E-06,0.000613815,300.8285714,0.923059662,0.379512475,0.253092322,0.531763026,0.299785867,0.231977159,2.02E-06,1.70E-06,6533,550,457,1041,1042,1042,1,0,0,-1,1,100,467,33.33,100,0,-1,0,0,-1
0,750,327,423,0.000267,0.000629377,299.1134752,0.912317135,0.241870742,0.253954647,0.535331906,0.301927195,0.233404711,0.000267,0.000260518,6630,550,457,1041,1042,1042,1,0,0,-1,1,100,10,0.71,100,0,-1,0,0,-1
0,1,1,0,0,0.000231638,0,0,0,0.143140041,0.000713776,0,0.000713776,0,0,1,1,458,0,1,1,464,141151,214832,65.7,1,0.22,1049,74.88,0.52,36840.5,0.34,141151,667.6,0
0,101,48,53,6.69E-07,0.000748286,35.30188679,0.881525361,0.047897842,0.277813062,0.072091363,0.037830121,0.034261242,6.69E-07,4.92E-07,210,56,998,542,543,543,8,9,56,16.07,1,12.5,701,50.04,52,23.5,0.84,9,1,1
0,67,3,64,0.000197756,0.000427662,20.375,0.246620047,0.005743415,0.224620419,0.047822984,0.045681656,0.002141328,0.000197756,0.000235139,41,33,998,542,543,543,24,64,552,11.59,1,4.17,774,55.25,21.54,244,0.88,64,0,0
1,66,38,28,0.001143617,0.001506178,9.892857143,0.443680592,0.006377784,0.275872575,0.047109208,0.019985724,0.027123483,0.001143617,0.001029947,756,27,998,542,543,543,30,452,870,51.95,1,3.33,832,59.39,15.15,209,0.48,452,20.87,2
1,8,7,1,0.000182097,0.000716316,177,0.642857143,0.008607784,0.153679988,0.005710207,0.000713776,0.004996431,0.000182097,0.000186343,4,7,998,542,543,543,1,0,0,-1,1,100,46,3.28,100,0,-1,0,0,-1
0,48,34,14,0.000778261,0.000470935,24.71428571,0.769082126,0.016706463,0.225118311,0.034261242,0.009992862,0.02426838,0.000778261,0.000742436,18,42,998,542,543,543,3,2,6,33.33,1,33.33,80,5.71,59.26,2,0.67,2,0,0
0,38,2,36,0.000293037,0.000349672,31.16666667,0.608819346,0.043200261,0.001713062,0.027123483,0.025695931,0.001427552,0.000293037,0.000289032,15,33,6,547,548,548,77,2883,5852,49.27,1,1.3,965,68.88,9.87,1484.5,0.51,2883,58.72,1
0,47,1,46,2.51E-05,0.000289112,30.2826087,0.492753623,0.006120296,0.198249756,0.033547466,0.03283369,0.000713776,2.51E-05,2.28E-05,35,34,998,542,543,543,2,0,2,0,2,100,602,42.97,95.25,1,1,0,0,0
0,7,0,7,0,0.000230035,3,0.238095238,0.007732671,0,0.004996431,0.004996431,0,0,0,6,6,0,544,545,545,51,813,2550,31.88,1,1.96,792,56.53,6.87,868.5,0.68,813,241.5,9
0,32,25,7,0.002135886,0.000466789,29.42857143,0.752688172,0.066914359,0.273959008,0.022840828,0.004996431,0.017844397,0.002135886,0.00214454,11,29,998,542,543,543,3,2,6,33.33,1,33.33,57,4.07,93.44,2,0.67,2,0,0
0,349,327,22,2.63E-05,0.000638612,88.04545455,0.98016515,0.55791354,0.253954647,0.24910778,0.015703069,0.233404711,2.63E-05,2.61E-05,84,347,457,1041,1042,1042,7,10,42,23.81,1,14.29,702,50.11,55.71,16,0.76,10,4.17,9
0,357,335,22,9.97E-07,0.000800626,125.9545455,0.986483424,0.543865293,0.257463519,0.254817987,0.015703069,0.239114918,9.97E-07,7.37E-07,83,347,457,1041,1042,1042,15,19,210,9.05,1,6.67,648,46.25,71.6,95.5,0.91,19,47.5,22
0,1,1,0,0,0.000231278,0,0,0,0.143003326,0.000713776,0,0.000713776,0,0,1,1,458,0,1,1,463,141566,213906,66.18,1,0.22,1048,74.8,0.52,36170,0.34,141566,2.78,0
0,7,3,4,1.78E-05,0.0003434,22.25,0.466666667,0.008066549,0.0025492,0.004996431,0.002855103,0.002141328,1.78E-05,1.76E-05,7,7,5,544,545,545,2,0,2,0,2,100,66,4.71,70.21,1,1,0,0,0
0,103,48,55,0.002351678,0.000748715,34.34545455,0.836140351,0.04485466,0.277813062,0.073518915,0.039257673,0.034261242,0.002351678,0.002162299,212,56,998,542,543,543,5,4,20,20,3,60,251,17.92,73.82,8,0.8,4,4,20
0,44,21,23,1.06E-05,0.000559109,15.52173913,0.727272727,0.008473057,0.238805383,0.031406138,0.016416845,0.014989293,1.06E-05,1.16E-05,54,33,998,542,543,543,6,7,30,23.33,2,33.33,666,47.54,36.94,11.5,0.77,7,7,23
0,3,3,0,0,0.000424321,0,0,0.008241758,0.199425822,0.002141328,0,0.002141328,0,0,3,3,999,0,1,1,17,140,272,51.47,1,5.88,877,62.6,29.97,66,0.49,140,1.24,0
0,11,2,9,1.53E-06,0.000284316,23.22222222,0.527777778,0.002610428,0.001427552,0.007851535,0.006423983,0.001427552,1.53E-06,1.53E-06,5,7,2,548,549,549,4,8,12,66.67,1,25,7,0.5,29.17,2,0.33,8,0,0
0,746,325,421,0.000897593,0.000613818,300.1615202,0.919090266,0.366042505,0.253092322,0.532476802,0.300499643,0.231977159,0.000897593,0.001387497,6534,550,457,1041,1042,1042,54,1741,2862,60.83,1,1.85,963,68.74,11.71,560.5,0.39,1741,104.02,3
1,3,3,0,0,0.000531594,0,0,0.009940358,0.179115652,0.002141328,0,0.002141328,0,0,3,3,1000,0,1,1,2,0,2,0,2,100,39,2.78,100,1,1,0,0,0
0,19,12,7,2.11E-06,0.001056153,5.428571429,0.816176471,0.008633288,0.271655952,0.013561742,0.004996431,0.00856531,2.11E-06,3.58E-06,8,19,998,542,543,543,346,100441,119370,84.14,1,0.29,1038,74.09,0.64,9464.5,0.16,100441,105.62,0
0,18,18,0,0,0.000757147,0,0.764705882,0.01767744,0.240171624,0.012847966,0,0.012847966,0,0,5,18,999,0,1,1,28,375,756,49.6,1,3.57,867,61.88,15.74,190.5,0.5,375,47.39,6
0,29,23,6,1.32E-07,0.000525769,33.83333333,0.92022792,0.072646518,0.273537371,0.0206995,0.004282655,0.016416845,1.32E-07,1.71E-07,8,29,998,542,543,543,88,1966,7656,25.68,1,1.14,1006,71.81,8.05,2845,0.74,1966,674.44,8
0,745,325,420,2.02E-06,0.000613815,300.8285714,0.923059662,0.379512475,0.253092322,0.531763026,0.299785867,0.231977159,2.02E-06,1.70E-06,6533,550,457,1041,1042,1042,472,142874,222312,64.27,1,0.21,1050,74.95,0.52,39719,0.36,142874,127.46,0
