bug,degree,in_degree,out_degree,betweenness,pagerank,average_neighbor_degree,clustering,square_clustering,closeness_centrality,degree_centrality,out_degree_centrality,in_degree_centrality,betweenness_centrality,load_centrality,number_of_cliques,core_number,number_ancestors,number_descendants,eccentricity,ripple_degree,Size,Ties,Pairs,Densit,nWeakC,pWeakC,2StepR,2StepP,ReachE,Broker,nBroke,nClose,EgoBet,nEgoBe
0,2,0,2,0,0.00031694,18.5,0,0.021834061,0,0.00281294,0.00281294,0,0,0,2,2,0,402,403,403,2,0,2,0,2,100,13,1.83,92.86,1,1,0,0,0
0,2,2,0,0,0.000526556,0,1,0.229508197,0.186778345,0.00281294,0,0.00281294,0,0,1,2,422,0,1,1,15,42,210,20,1,6.67,216,30.38,56.1,84,0.8,42,1,0
0,3,0,3,0,0.00031694,40.33333333,1,0.006107419,0,0.004219409,0.004219409,0,0,0,1,3,0,362,363,363,3,3,6,50,1,33.33,256,36.01,90.78,1.5,0.5,3,0,0
0,2,1,1,0.000835958,0.000527949,1,0,0.009090909,0.1944641,0.00281294,0.00140647,0.00140647,0.000835958,0.000835958,2,2,422,3,4,4,3,2,6,33.33,2,66.67,75,10.55,72.12,2,0.67,2,2,33
0,4,1,3,0,0.000482829,32.33333333,1,0.01089531,0.17408108,0.005625879,0.004219409,0.00140647,0,0,1,4,421,360,361,361,1,0,0,-1,1,100,23,3.23,100,0,-1,0,0,-1
0,7,4,3,0.000110155,0.00100266,41.66666667,0.4,0.009524192,0.241320529,0.009845288,0.004219409,0.005625879,0.000110155,8.35E-05,4,5,421,360,361,361,2,0,2,0,2,100,119,16.74,99.17,1,1,0,1,50
0,4,4,0,0,0.001053717,0,0,0.16,0.118538967,0.005625879,0,0.005625879,0,0,4,3,423,0,1,1,2,1,2,50,1,50,37,5.2,78.72,0.5,0.5,1,0,0
0,25,7,18,0.004123868,0.001356301,13.77777778,0.308300395,0.01140647,0.241320529,0.035161744,0.025316456,0.009845288,0.004123868,0.004127731,29,12,421,360,361,361,2,2,2,100,1,50,303,42.62,83.7,0,0,2,0,0
1,16,7,9,0.002454588,0.001546337,17.11111111,0.247619048,0.009982985,0.242494267,0.022503516,0.012658228,0.009845288,0.002454588,0.00243167,11,8,421,360,361,361,48,1532,2256,67.91,1,2.08,99,13.92,4.29,362,0.32,1532,5.28,0
0,21,15,6,0,0.003148701,5,0.825,0.462208398,0.1717151,0.029535865,0.008438819,0.021097046,0,0,4,17,451,6,7,7,22,270,462,58.44,1,4.55,44,6.19,10.14,96,0.42,270,6.29,1
0,2,0,2,0,0.00031694,3.5,0,0,0,0.00281294,0.00281294,0,0,0,2,2,0,364,365,365,13,49,156,31.41,1,7.69,389,54.71,43.22,53.5,0.69,49,8.92,5
0,6,0,6,0,0.00031694,17.83333333,1,0.023181284,0,0.008438819,0.008438819,0,0,0,1,6,0,361,362,362,1,0,0,-1,1,100,63,8.86,100,0,-1,0,0,-1
0,1,0,1,0,0.00031694,7,0,0,0,0.00140647,0.00140647,0,0,0,1,1,0,363,364,364,2,2,2,100,1,50,7,0.98,58.33,0,0,2,0,0
0,81,38,43,0.000162527,0.001506942,34.93023256,0.893617021,0.37612121,0.22081306,0.113924051,0.0604782,0.053445851,0.000162527,0.000177494,26,64,496,97,98,98,4,8,12,66.67,1,25,18,2.53,41.86,2,0.33,8,0,0
0,7,1,6,3.96E-07,0.000380997,23,0.8,0.009350276,0.171565111,0.009845288,0.008438819,0.00140647,3.96E-07,3.96E-07,3,7,421,360,361,361,5,4,20,20,2,40,267,37.55,84.23,8,0.8,4,4,20
0,35,13,22,1.25E-05,0.001202291,13.22727273,0.748917749,0.339191774,0.167983217,0.049226442,0.030942335,0.018284107,1.25E-05,1.25E-05,5,26,445,26,27,27,2,0,2,0,2,100,4,0.56,100,1,1,0,0,0
0,1,0,1,0,0.00031694,2,0,0,0,0.00140647,0.00140647,0,0,0,1,1,0,4,5,5,5,10,20,50,2,40,135,18.99,60,5,0.5,10,4,20
0,22,20,2,0.000264366,0.003181243,38,0.457142857,0.038142337,0.247305662,0.030942335,0.00281294,0.028129395,0.000264366,0.000225482,43,12,421,360,361,361,13,32,156,20.51,2,15.38,314,44.16,53.13,62,0.79,32,24.7,15
1,7,5,2,0.001852717,0.000826568,37.5,0.4,0.02149792,0.173113963,0.009845288,0.00281294,0.007032349,0.001852717,0.001854941,4,5,421,360,361,361,25,109,600,18.17,2,8,411,57.81,36.99,245.5,0.82,109,94.46,15
0,1,0,1,0,0.00031694,10,0,0,0,0.00140647,0.00140647,0,0,0,1,1,0,401,402,402,2,2,2,100,1,50,278,39.1,82.74,0,0,2,0,0
0,16,11,5,0.000230463,0.001584474,24.8,0.495238095,0.020638078,0.244876333,0.022503516,0.007032349,0.015471167,0.000230463,0.000192885,12,12,421,360,361,361,54,1557,2862,54.4,1,1.85,101,14.21,4.27,652.5,0.46,1557,127.33,4
0,5,1,4,9.61E-06,0.000380997,11.25,0.4,0.01498801,0.17180159,0.007032349,0.005625879,0.00140647,9.61E-06,9.19E-06,3,5,421,360,361,361,7,14,42,33.33,1,14.29,222,31.22,62.54,14,0.67,14,4.33,10
0,10,10,0,0,0.002352851,0,0.2,0.016511789,0.249720599,0.014064698,0,0.014064698,0,0,9,8,422,0,1,1,15,31,210,14.76,2,13.33,366,51.48,50.62,89.5,0.85,31,35.87,17
0,2,2,0,0,0.000721404,0,1,1,0.167426295,0.00281294,0,0.00281294,0,0,1,2,446,0,1,1,1,0,0,-1,1,100,22,3.09,100,0,-1,0,0,-1
0,2,0,2,0,0.00031694,2,0,0.004405286,0,0.00281294,0.00281294,0,0,0,2,2,0,362,363,363,16,130,240,54.17,1,6.25,46,6.47,14.7,55,0.46,130,0,0
0,11,0,11,0,0.00031694,14.36363636,0.690909091,0.044101808,0,0.015471167,0.015471167,0,0,0,6,11,0,361,362,362,6,10,30,33.33,1,16.67,266,37.41,80.36,10,0.67,10,5.83,19
0,5,2,3,3.76E-05,0.000486292,24.66666667,0.4,0.011805163,0.003750586,0.007032349,0.004219409,0.00281294,3.76E-05,2.03E-05,3,4,4,361,362,362,1,0,0,-1,1,100,7,0.98,100,0,-1,0,0,-1
0,44,17,27,6.79E-05,0.001042056,18.81481481,0.766009852,0.043872084,0.038353819,0.061884669,0.037974684,0.023909986,6.79E-05,6.40E-05,23,30,56,400,401,401,1,0,0,-1,1,100,33,4.64,100,0,-1,0,0,-1
0,1,0,1,0,0.00031694,2,0,0,0,0.00140647,0.00140647,0,0,0,1,1,0,4,5,5,8,9,56,16.07,2,25,149,20.96,73.76,23.5,0.84,9,0,0
0,3,2,1,0.00081879,0.000618159,24,0,0.006369427,0.004219409,0.004219409,0.00140647,0.00281294,0.00081879,0.000812682,3,2,6,401,402,402,2,0,2,0,2,100,255,35.86,93.07,1,1,0,1,50
0,6,3,3,0.000822616,0.000710809,41.66666667,0.266666667,0.009204071,0.005023106,0.008438819,0.004219409,0.004219409,0.000822616,0.000796102,4,4,5,361,362,362,1,0,0,-1,1,100,63,8.86,100,0,-1,0,0,-1
0,49,32,17,0.003917671,0.007436062,17.58823529,0.441269841,0.024386866,0.267185538,0.068917018,0.023909986,0.045007032,0.003917671,0.003428541,49,17,421,360,361,361,2,0,2,0,2,100,7,0.98,87.5,1,1,0,1,50
1,8,3,5,5.74E-05,0.000775057,8.6,0.619047619,0.034674518,0.176850476,0.011251758,0.007032349,0.004219409,5.74E-05,5.74E-05,3,6,423,35,36,36,26,216,650,33.23,1,3.85,216,30.38,28.38,217,0.67,216,12.13,1
0,15,3,12,0.001671942,0.000410913,16.58333333,0.802197802,0.022996214,0.150261668,0.021097046,0.016877637,0.004219409,0.001671942,0.001667193,10,12,421,360,361,361,13,43,156,27.56,1,7.69,160,22.5,55.75,56.5,0.72,43,29,18
0,4,1,3,3.96E-06,0.000384295,0.333333333,0.166666667,0,0.00140647,0.005625879,0.004219409,0.00140647,3.96E-06,3.96E-06,3,2,1,4,5,5,3,4,6,66.67,1,33.33,135,18.99,84.91,1,0.33,4,0,0
1,12,2,10,0.000891296,0.000487685,15.2,0.5,0.02184623,0.129700368,0.016877637,0.014064698,0.00281294,0.000891296,0.000881107,6,9,421,360,361,361,8,6,56,10.71,2,25,22,3.09,37.93,25,0.89,6,37,66
1,13,2,11,0.00339067,0.000605814,4.909090909,0.320512821,0.014865922,0.195057987,0.018284107,0.015471167,0.00281294,0.00339067,0.003334093,12,7,421,360,361,361,3,3,6,50,1,33.33,170,23.91,75.89,1.5,0.5,3,0,0
0,21,18,3,0,0.001074866,37.66666667,0.994152047,0.478694996,0.038690256,0.029535865,0.004219409,0.025316456,0,0,2,21,56,400,401,401,29,413,812,50.86,2,6.9,278,39.1,29.73,199.5,0.49,413,162.5,20
0,6,0,6,0,0.00031694,27.83333333,1,0.008678449,0,0.008438819,0.008438819,0,0,0,1,6,0,361,362,362,3,4,6,66.67,1,33.33,283,39.8,70.22,1,0.33,4,0,0
1,69,33,36,0.014252908,0.003870646,15.30555556,0.210813492,0.012713446,0.21434575,0.097046414,0.050632911,0.046413502,0.014252908,0.013706549,135,17,421,360,361,361,50,1567,2450,63.96,1,2,100,14.06,4.26,441.5,0.36,1567,78.4,3
0,1,1,0,0,0.000355428,0,0,0,0.00140647,0.00140647,0,0.00140647,0,0,1,1,1,0,1,1,28,263,756,34.79,1,3.57,346,48.66,32.67,246.5,0.65,263,17.39,2
0,13,9,4,0.000502501,0.002247095,15.75,0.581818182,0.017164406,0.190876039,0.018284107,0.005625879,0.012658228,0.000502501,0.000520854,10,9,421,360,361,361,6,17,30,56.67,2,33.33,361,50.77,54.95,6.5,0.43,17,5,16
0,9,2,7,0.000665146,0.000474534,23.85714286,0.535714286,0.008763485,0.120252825,0.012658228,0.009845288,0.00281294,0.000665146,0.000698196,4,7,421,360,361,361,10,21,90,23.33,2,20,336,47.26,66.01,34.5,0.77,21,8,8
0,2,2,0,0,0.000721404,0,1,1,0.167426295,0.00281294,0,0.00281294,0,0,1,2,446,0,1,1,10,37,90,41.11,1,10,15,2.11,14.85,26.5,0.59,37,0,0
0,3,1,2,0,0.000630666,4,1,0.024767802,0.17420273,0.004219409,0.00281294,0.00140647,0,0,1,3,421,360,361,361,3,3,6,50,1,33.33,280,39.38,81.87,1.5,0.5,3,0,0
0,5,1,4,5.51E-06,0.000370824,22.25,0.7,0.012193263,0.00140647,0.007032349,0.005625879,0.00140647,5.51E-06,5.01E-06,3,4,1,364,365,365,9,48,72,66.67,1,11.11,41,5.77,23.98,12,0.33,48,0,0
0,18,4,14,9.54E-05,0.001230323,4.285714286,0.383333333,0.293577982,0.005625879,0.025316456,0.019690577,0.005625879,9.54E-05,9.54E-05,22,8,4,15,16,16,17,78,272,28.68,1,5.88,380,53.45,41.76,97,0.71,78,4.67,1
0,12,2,10,0.000117448,0.000474534,12.2,0.527272727,0.047723133,0.120252825,0.016877637,0.014064698,0.00281294,0.000117448,0.000103882,6,7,421,360,361,361,1,0,0,-1,1,100,2,0.28,100,0,-1,0,0,-1
0,1,0,1,0,0.00031694,0,0,0,0,0.00140647,0.00140647,0,0,0,1,1,0,1,2,2,8,11,56,19.64,1,12.5,132,18.57,58.67,22.5,0.8,11,0,0
1,3,2,1,0.000330586,0.000486292,64,0,0.027210884,0.003750586,0.004219409,0.00140647,0.00281294,0.000330586,0.000306877,3,2,4,361,362,362,6,13,30,43.33,1,16.67,326,45.85,54.61,8.5,0.57,13,0,0
0,1,1,0,0,0.000355982,0,0,0,0.080927225,0.00140647,0,0.00140647,0,0,1,1,422,0,1,1,3,1,6,16.67,2,66.67,128,18,96.24,2.5,0.83,1,0,0
0,4,1,3,1.98E-06,0.000362947,29.66666667,0.666666667,0.01981982,0.134748166,0.005625879,0.004219409,0.00140647,1.98E-06,1.98E-06,2,4,421,360,361,361,14,43,182,23.63,3,21.43,331,46.55,48.32,69.5,0.76,43,33.2,18
0,2,0,2,0,0.00031694,33,1,0.012048193,0,0.00281294,0.00281294,0,0,0,1,2,0,361,362,362,5,3,20,15,2,40,292,41.07,73.74,8.5,0.85,3,4.5,22
0,5,1,4,0.000359824,0.00045165,20,0.3,0.012814539,0.00140647,0.007032349,0.005625879,0.00140647,0.000359824,0.000360036,4,4,1,362,363,363,3,5,6,83.33,1,33.33,18,2.53,47.37,0.5,0.17,5,0,0
0,2,0,2,0,0.00031694,3.5,0,0.003558719,0,0.00281294,0.00281294,0,0,0,2,2,0,361,362,362,5,13,20,65,1,20,340,47.82,58.93,3.5,0.35,13,0,0
0,1,1,0,0,0.000382639,0,0,0,0.086506646,0.00140647,0,0.00140647,0,0,1,1,497,0,1,1,2,0,2,0,2,100,108,15.19,99.08,1,1,0,0,0
0,23,13,10,0.001806376,0.001738022,18.5,0.471428571,0.018053142,0.245358373,0.032348805,0.014064698,0.018284107,0.001806376,0.001766487,46,12,421,360,361,361,1,0,0,-1,1,100,124,17.44,100,0,-1,0,0,-1
0,12,3,9,0.000134045,0.000411159,12.44444444,0.490909091,0.012477579,0.005023106,0.016877637,0.012658228,0.004219409,0.000134045,0.000175552,6,8,5,366,367,367,1,0,0,-1,1,100,124,17.44,100,0,-1,0,0,-1
