bug,degree,in_degree,out_degree,betweenness,pagerank,average_neighbor_degree,clustering,square_clustering,closeness_centrality,degree_centrality,out_degree_centrality,in_degree_centrality,betweenness_centrality,load_centrality,number_of_cliques,core_number,number_ancestors,number_descendants,eccentricity,ripple_degree,Size,Ties,Pairs,Densit,nWeakC,pWeakC,2StepR,2StepP,ReachE,Broker,nBroke,nClose,EgoBet,nEgoBe
0,3,3,0,0,0.00042261,0,1,0.024509804,0.002615519,0.002615519,0,0.002615519,0,0,1,3,3,0,1,1,18,44,306,14.38,1,5.56,114,9.94,24.68,131,0.86,44,42.5,13
0,27,0,27,0,0.000262024,18.51851852,0.39031339,0.013550443,0,0.023539669,0.023539669,0,0,0,19,20,0,414,415,415,23,151,506,29.84,1,4.35,379,33.04,15.29,177.5,0.7,151,0,0
0,1,0,1,0,0.000262024,12,0,0,0,0.00087184,0.00087184,0,0,0,1,1,0,428,429,429,1,0,0,-1,1,100,85,7.41,100,0,-1,0,0,-1
0,4,2,2,0,0.001038203,5,1,0.6,0.091074895,0.003487358,0.001743679,0.001743679,0,0,1,4,574,14,15,15,62,881,3782,23.29,3,4.84,418,36.44,14.12,1450.5,0.77,881,0,0
0,2,2,0,0,0.000375255,0,1,0.021176471,0.105135344,0.001743679,0,0.001743679,0,0,1,2,558,0,1,1,25,555,600,92.5,1,4,76,6.63,5.33,22.5,0.08,555,0,0
1,115,75,40,0.000631757,0.001598303,29.575,0.574032459,0.063139298,0.134771977,0.100261552,0.034873583,0.065387969,0.000631757,0.000506135,297,48,557,410,411,411,27,139,702,19.8,6,22.22,361,31.47,17.22,281.5,0.8,139,25,3
0,20,8,12,2.40E-05,0.000389425,4.25,0.643274854,0.210284114,0.008916541,0.017436792,0.010462075,0.006974717,2.40E-05,2.41E-05,11,14,15,456,457,457,2,0,2,0,2,100,112,9.76,80.58,1,1,0,0,0
0,39,0,39,0,0.000262024,25.33333333,0.658569501,0.428874614,0,0.034001744,0.034001744,0,0,0,15,26,0,61,62,62,4,3,12,25,2,50,76,6.63,84.44,4.5,0.75,3,2,16
0,2,2,0,0,0.000282432,0,0,0.101123596,0.106343404,0.001743679,0,0.001743679,0,0,2,2,560,0,1,1,25,215,600,35.83,1,4,191,16.65,25.67,192.5,0.64,215,13.95,2
1,50,35,15,0.000462898,0.00342411,14.13333333,0.709243697,0.041240694,0.133574004,0.043591979,0.013077594,0.030514385,0.000462898,0.000462898,39,31,557,410,411,411,5,1,20,5,4,80,108,9.42,65.06,9.5,0.95,1,5,25
0,1,1,0,0,0.000373424,0,0,0,0.00087184,0.00087184,0,0.00087184,0,0,1,1,1,0,1,1,10,3,90,3.33,7,70,74,6.45,38.54,43.5,0.97,3,9,10
0,27,0,27,0,0.000262024,36.59259259,0.925925926,0.707706767,0,0.023539669,0.023539669,0,0,0,4,25,0,61,62,62,2,1,2,50,1,50,4,0.35,66.67,0.5,0.5,1,0,0
0,9,0,9,0,0.000262024,14.22222222,0.166666667,0.038626664,0,0.007846556,0.007846556,0,0,0,6,9,0,411,412,412,1,0,0,-1,1,100,12,1.05,100,0,-1,0,0,-1
0,49,32,17,0.004563447,0.002016122,13,0.647147147,0.03299218,0.133376409,0.042720139,0.014821273,0.027898867,0.004563447,0.004420442,49,31,557,410,411,411,28,620,756,82.01,1,3.57,197,17.18,16.79,68,0.18,620,0.24,0
0,31,0,31,0,0.000262024,15.74193548,0.324731183,0.012691949,0,0.027027027,0.027027027,0,0,0,19,20,0,411,412,412,10,19,90,21.11,1,10,90,7.85,46.39,35.5,0.79,19,3,3
0,3,3,0,0,0.000347662,0,0.333333333,0.151111111,0.002615519,0.002615519,0,0.002615519,0,0,2,3,3,0,1,1,24,115,552,20.83,1,4.17,373,32.52,19.58,218.5,0.79,115,11.95,2
1,42,18,24,0.002900082,0.001573215,5.5,0.293902439,0.015412059,0.1380742,0.036617262,0.02092415,0.015693112,0.002900082,0.002644741,34,17,557,410,411,411,16,4,240,1.67,3,81.25,243,21.19,46.55,118,0.98,4,0,0
0,37,33,4,0.000195847,0.002117045,7.75,0.613445378,0.033300218,0.133442209,0.032258065,0.003487358,0.028770706,0.000195847,0.000192171,18,25,557,410,411,411,13,103,156,66.03,1,7.69,158,13.78,42.59,26.5,0.34,103,0,0
0,42,1,41,0.000324848,0.000373424,15.85365854,0.150987224,0.005849158,0.00087184,0.036617262,0.035745423,0.00087184,0.000324848,0.000324848,27,24,1,427,428,428,4,1,12,8.33,3,75,118,10.29,62.77,5.5,0.92,1,3,25
0,1,1,0,0,0.000291375,0,0,0,0.02079561,0.00087184,0,0.00087184,0,0,1,1,61,0,1,1,3,2,6,33.33,1,33.33,116,10.11,78.91,2,0.67,2,0,0
0,57,25,32,0.000492073,0.000929291,22.8125,0.875630252,0.188188129,0.139572606,0.049694856,0.027898867,0.02179599,0.000492073,0.000492449,42,44,632,82,83,83,91,2650,8190,32.36,1,1.1,403,35.14,6.77,2770,0.68,2650,66.21,0
0,67,26,41,0.00035227,0.000800496,27.63414634,0.698731501,0.024526085,0.024040513,0.058413252,0.035745423,0.022667829,0.00035227,0.000334712,15,46,36,449,450,450,14,91,182,50,2,14.29,158,13.78,29.76,45.5,0.5,91,0,0
0,20,17,3,0,0.003614124,3.666666667,0.37254902,0.029586459,0.120969302,0.017436792,0.002615519,0.014821273,0,0,16,13,557,410,411,411,25,122,600,20.33,1,4,418,36.44,17.51,239,0.8,122,5.5,0
0,56,26,30,0.000226997,0.001161227,24.4,0.884135472,0.214815976,0.141615963,0.048823017,0.026155187,0.022667829,0.000226997,0.000739417,27,44,632,82,83,83,4,1,12,8.33,3,75,26,2.27,81.25,5.5,0.92,1,2,16
1,125,91,34,0.00794142,0.00224926,15.76470588,0.168515742,0.017227046,0.162846092,0.108979948,0.029642546,0.079337402,0.00794142,0.008102887,198,28,557,410,411,411,17,111,272,40.81,1,5.88,155,13.51,30.94,80.5,0.59,111,10.8,3
0,49,31,18,0.001290475,0.001375697,18.77777778,0.517006803,0.016843881,0.026523297,0.042720139,0.015693112,0.027027027,0.001290475,0.001259685,15,31,37,416,417,417,23,309,506,61.07,2,8.7,80,6.97,5.89,98.5,0.39,309,0,0
0,110,6,104,0.034845853,0.000559694,9.817307692,0.109380408,0.008968506,0.119950048,0.095902354,0.090671316,0.005231037,0.034845853,0.033958331,97,28,557,410,411,411,3,6,6,100,1,33.33,72,6.28,44.44,0,0,6,0,0
