bug,degree,in_degree,out_degree,betweenness,pagerank,average_neighbor_degree,clustering,square_clustering,closeness_centrality,degree_centrality,out_degree_centrality,in_degree_centrality,betweenness_centrality,load_centrality,number_of_cliques,core_number,number_ancestors,number_descendants,eccentricity,ripple_degree,Size,Ties,Pairs,Densit,nWeakC,pWeakC,2StepR,2StepP,ReachE,Broker,nBroke,nClose,EgoBet,nEgoBe
0,14,1,13,0.000989397,0.001937129,4.923076923,0.205128205,0.017274962,0.148911362,0.05785124,0.053719008,0.004132231,0.000989397,0.000977731,12,10,157,120,121,121,3,0,6,0,3,100,17,7.02,77.27,3,1,0,2,33
0,45,18,27,1.71E-06,0.003666458,20.48148148,0.94017094,0.218937481,0.083048868,0.185950413,0.111570248,0.074380165,1.71E-06,1.71E-06,6,38,43,145,146,146,26,452,650,69.54,1,3.85,134,55.37,15.9,99,0.3,452,19,2
0,29,12,17,0,0.003831208,13.52941176,0.977941176,0.608346213,0.050619835,0.119834711,0.070247934,0.049586777,0,0,4,24,14,163,164,164,2,0,2,0,2,100,12,4.96,80,1,1,0,0,0
0,47,19,28,0.003579793,0.004322758,19.85714286,0.817460317,0.117414745,0.157915305,0.194214876,0.115702479,0.078512397,0.003579793,0.003541316,13,38,157,120,121,121,2,0,2,0,2,100,16,6.61,100,1,1,0,1,50
1,14,3,11,0.003107292,0.002280584,3.090909091,0.294871795,0.025060809,0.12795901,0.05785124,0.045454545,0.012396694,0.003107292,0.00316041,16,7,157,120,121,121,35,562,1190,47.23,3,8.57,145,59.92,13.73,314,0.53,562,152.63,12
0,4,0,4,0,0.00156827,2,0.166666667,0.1,0,0.016528926,0.016528926,0,0,0,3,2,0,14,15,15,1,0,0,-1,1,100,61,25.21,100,0,-1,0,0,-1
0,5,3,2,0.005493216,0.002208515,2,0.1,0.175824176,0.16919497,0.020661157,0.008264463,0.012396694,0.005493216,0.005503926,4,4,157,120,121,121,7,0,42,0,7,100,104,42.98,52.53,21,1,0,12,28
0,43,18,25,0,0.003854699,21,0.973333333,0.302140837,0.145300103,0.17768595,0.103305785,0.074380165,0,0,9,38,157,120,121,121,17,201,272,73.9,1,5.88,51,21.07,15.45,35.5,0.26,201,0,0
0,2,2,0,0,0.001999833,0,0,1,0.0094451,0.008264463,0,0.008264463,0,0,2,2,4,0,1,1,7,4,42,9.52,3,42.86,133,54.96,49.08,19,0.9,4,2,4
0,12,0,12,0,0.00156827,21.83333333,0.560606061,0.074004625,0,0.049586777,0.049586777,0,0,0,5,10,0,123,124,124,1,0,0,-1,1,100,8,3.31,100,0,-1,0,0,-1
0,9,1,8,0.002723835,0.001814288,2.75,0.142857143,0.04290239,0.153165973,0.037190083,0.033057851,0.004132231,0.002723835,0.002732327,6,7,157,120,121,121,27,460,702,65.53,1,3.7,133,54.96,15.63,121,0.34,460,20.22,2
0,30,28,2,0.002136331,0.01031914,17,0.665024631,0.081732998,0.317306455,0.123966942,0.008264463,0.115702479,0.002136331,0.002132561,11,23,157,120,121,121,3,2,6,33.33,1,33.33,60,24.79,68.97,2,0.67,2,0,0
0,1,1,0,0,0.001901521,0,0,0,0.004132231,0.004132231,0,0.004132231,0,0,1,1,1,0,1,1,2,0,2,0,2,100,5,2.07,100,1,1,0,1,50
0,2,2,0,0,0.002940752,0,0,0.007874016,0.183553425,0.008264463,0,0.008264463,0,0,2,2,158,0,1,1,1,0,0,-1,1,100,1,0.41,-1,0,-1,0,0,0
0,9,3,6,0,0.002446044,4.666666667,0.866666667,0.128032345,0.012396694,0.037190083,0.024793388,0.012396694,0,0,2,9,3,149,150,150,10,7,90,7.78,5,50,131,54.13,38.99,41.5,0.92,7,16,17
0,7,4,3,0.000166169,0.002043822,0.333333333,0.571428571,0.066372657,0.128605268,0.02892562,0.012396694,0.016528926,0.000166169,0.00013536,3,7,157,120,121,121,17,201,272,73.9,1,5.88,51,21.07,15.45,35.5,0.26,201,0,0
0,33,29,4,0.034059726,0.010646828,4.75,0.365591398,0.030330333,0.259173974,0.136363636,0.016528926,0.119834711,0.034059726,0.031977386,10,24,157,120,121,121,25,423,600,70.5,2,8,106,43.8,12.9,88.5,0.29,423,23.24,3
0,2,2,0,0,0.001989593,0,0,0.2,0.009297521,0.008264463,0,0.008264463,0,0,2,2,3,0,1,1,26,460,650,70.77,1,3.85,140,57.85,16.71,95,0.29,460,8.77,1
0,4,1,3,0,0.00169753,0.666666667,0.5,0.005070994,0.180344449,0.016528926,0.012396694,0.004132231,0,0,3,4,158,5,6,6,10,8,90,8.89,4,40,141,58.26,42.22,41,0.91,8,4,4
0,29,12,17,0,0.003831208,13.52941176,0.977941176,0.608346213,0.050619835,0.119834711,0.070247934,0.049586777,0,0,4,24,14,163,164,164,26,460,650,70.77,1,3.85,140,57.85,16.71,95,0.29,460,8.77,1
0,6,2,4,0.000154316,0.003328423,0,0.133333333,0.173913043,0.009297521,0.024793388,0.016528926,0.008264463,0.000154316,0.000154316,5,3,3,4,5,5,32,559,992,56.35,2,6.25,120,49.59,11.83,216.5,0.44,559,61.63,6
0,6,0,6,0,0.00156827,3.5,0.266666667,0.04655908,0,0.024793388,0.024793388,0,0,0,5,6,0,121,122,122,27,492,702,70.09,1,3.7,121,50,13.36,105,0.3,492,0.11,0
0,9,3,6,0,0.002446044,4.666666667,0.866666667,0.128032345,0.012396694,0.037190083,0.024793388,0.012396694,0,0,2,9,3,149,150,150,8,4,56,7.14,4,50,17,7.02,58.62,26,0.93,4,6,10
0,29,12,17,0,0.003831208,13.52941176,0.977941176,0.608346213,0.050619835,0.119834711,0.070247934,0.049586777,0,0,4,24,14,163,164,164,61,626,3660,17.1,9,14.75,133,54.96,11.38,1517,0.83,626,0,0
0,4,0,4,0,0.00156827,3,0,0.194690265,0,0.016528926,0.016528926,0,0,0,4,3,0,121,122,122,36,584,1260,46.35,1,2.78,159,65.7,12.99,338,0.54,584,102.53,8
0,17,0,17,0,0.00156827,15.35294118,0.522058824,0.032621166,0,0.070247934,0.070247934,0,0,0,15,13,0,124,125,125,2,0,2,0,2,100,3,1.24,75,1,1,0,0,0
0,58,26,32,0.006951753,0.008341702,19.90625,0.603238866,0.06019092,0.314368432,0.239669421,0.132231405,0.107438017,0.006951753,0.006873513,28,38,157,120,121,121,12,18,132,13.64,4,33.33,147,60.74,33.03,57,0.86,18,0,0
0,1,0,1,0,0.00156827,0,0,0,0,0.004132231,0.004132231,0,0,0,1,1,0,1,2,2,36,576,1260,45.71,1,2.78,150,61.98,13,342,0.54,576,59.66,4
0,1,1,0,0,0.002766681,0,0,0,0.205492081,0.004132231,0,0.004132231,0,0,1,1,158,0,1,1,95,1028,8930,11.51,9,9.47,168,69.42,8.29,3951,0.88,1028,3517.97,39
0,45,18,27,1.71E-06,0.003666458,20.48148148,0.94017094,0.218937481,0.083048868,0.185950413,0.111570248,0.074380165,1.71E-06,1.71E-06,6,38,43,145,146,146,30,355,870,40.8,5,16.67,120,49.59,14.62,257.5,0.59,355,0,0
0,1,1,0,0,0.001771151,0,0,0,0.025408827,0.004132231,0,0.004132231,0,0,1,1,17,0,1,1,29,421,812,51.85,2,6.9,90,37.19,11.63,195.5,0.48,421,24.5,3
0,55,20,35,0.006118108,0.005661196,18.57142857,0.642857143,0.062928656,0.253371572,0.227272727,0.144628099,0.082644628,0.006118108,0.006122449,19,38,157,120,121,121,33,570,1056,53.98,1,3.03,121,50,11.77,243,0.46,570,63.22,5
0,30,30,0,0,0.005688175,0,0.425287356,0.047122201,0.27805128,0.123966942,0,0.123966942,0,0,9,25,158,0,1,1,39,630,1482,42.51,1,2.56,165,68.18,12.83,426,0.57,630,43.51,2
0,2,2,0,0,0.002465976,0,0,0.333333333,0.011478421,0.008264463,0,0.008264463,0,0,2,2,5,0,1,1,13,18,156,11.54,3,23.08,149,61.57,30.66,69,0.88,18,7.5,4
0,12,6,6,0.003987044,0.002603668,5.5,0.509090909,0.024836395,0.192907901,0.049586777,0.024793388,0.024793388,0.003987044,0.003984369,19,8,157,120,121,121,10,18,90,20,2,20,130,53.72,36.41,36,0.8,18,13,14
0,8,8,0,0,0.004913812,0,0.071428571,0.035510741,0.230971886,0.033057851,0,0.033057851,0,0,7,7,160,0,1,1,2,0,2,0,2,100,11,4.55,73.33,1,1,0,0,0
0,46,18,28,0.000816225,0.00367046,20.89285714,0.875661376,0.130285019,0.083048868,0.190082645,0.115702479,0.074380165,0.000816225,0.001182641,7,38,43,145,146,146,4,3,12,25,1,25,97,40.08,85.84,4.5,0.75,3,0,0
0,2,2,0,0,0.004234275,0,0,0,0.008264463,0.008264463,0,0.008264463,0,0,2,1,2,0,1,1,29,492,812,60.59,3,10.34,137,56.61,14.75,160,0.39,492,49.11,6
0,24,19,5,0.000597597,0.003985787,2.6,0.855072464,0.175558999,0.146133963,0.099173554,0.020661157,0.078512397,0.000597597,0.000637838,5,22,157,120,121,121,26,439,650,67.54,1,3.85,140,57.85,16.95,105.5,0.32,439,6.13,0
0,2,1,1,1.71E-05,0.001901521,0,0,0,0.004132231,0.008264463,0.004132231,0.004132231,1.71E-05,1.71E-05,2,1,1,1,2,2,8,7,56,12.5,3,37.5,114,47.11,39.45,24.5,0.88,7,4,7
0,3,2,1,0.002825681,0.001925824,4,0,0.153846154,0.166702736,0.012396694,0.004132231,0.008264463,0.002825681,0.002760536,3,3,157,120,121,121,8,6,56,10.71,3,37.5,24,9.92,37.5,25,0.89,6,0,0
0,45,18,27,1.71E-06,0.003666458,20.48148148,0.94017094,0.218937481,0.083048868,0.185950413,0.111570248,0.074380165,1.71E-06,1.71E-06,6,38,43,145,146,146,9,12,72,16.67,4,44.44,139,57.44,42.25,30,0.83,12,12,16
0,31,31,0,0,0.006156406,0,0.4,0.042269463,0.281081811,0.128099174,0,0.128099174,0,0,10,26,158,0,1,1,2,0,2,0,2,100,5,2.07,100,1,1,0,0,0
0,10,10,0,0,0.003808029,0,0.844444444,0.745577085,0.131577838,0.041322314,0,0.041322314,0,0,2,9,158,0,1,1,6,16,30,53.33,1,16.67,43,17.77,41.35,7,0.47,16,0,0
0,5,0,5,0,0.00156827,2.4,0,0.185897436,0,0.020661157,0.020661157,0,0,0,5,5,0,122,123,123,1,0,0,-1,1,100,1,0.41,-1,0,-1,0,0,0
0,25,22,3,0.001813383,0.006608155,3.333333333,0.786666667,0.119521745,0.200108786,0.103305785,0.012396694,0.090909091,0.001813383,0.001258156,6,24,157,120,121,121,30,500,870,57.47,1,3.33,141,58.26,15.21,185,0.43,500,16.5,1
0,1,1,0,0,0.003267537,0,0,0,0.183553425,0.004132231,0,0.004132231,0,0,1,1,158,0,1,1,26,452,650,69.54,1,3.85,135,55.79,16.01,99,0.3,452,19,2
0,10,2,8,0.000233617,0.001977619,3.25,0.277777778,0.020458961,0.107555831,0.041322314,0.033057851,0.008264463,0.000233617,0.000233617,6,7,157,120,121,121,4,4,12,33.33,1,25,81,33.47,64.8,4,0.67,4,0,0
0,10,2,8,0.024715977,0.001872038,6.75,0.377777778,0.021385621,0.194010232,0.041322314,0.033057851,0.008264463,0.024715977,0.026071623,13,8,157,120,121,121,2,0,2,0,2,100,5,2.07,100,1,1,0,1,50
0,10,0,10,0,0.00156827,23.3,0.777777778,0.241401687,0,0.041322314,0.041322314,0,0,0,3,9,0,123,124,124,17,97,272,35.66,1,5.88,153,63.22,24.29,87.5,0.64,97,0,0
0,45,18,27,1.71E-06,0.003666458,20.48148148,0.94017094,0.218937481,0.083048868,0.185950413,0.111570248,0.074380165,1.71E-06,1.71E-06,6,38,43,145,146,146,31,461,930,49.57,1,3.23,135,55.79,13.55,234.5,0.5,461,67.75,7
0,6,0,6,0,0.00156827,2.166666667,0,0.059633028,0,0.024793388,0.024793388,0,0,0,6,5,0,122,123,123,29,509,812,62.68,1,3.45,137,56.61,14.51,151.5,0.37,509,6.65,0
0,51,21,30,0.00088471,0.005764619,21.33333333,0.766129032,0.123266658,0.254003421,0.210743802,0.123966942,0.08677686,0.00088471,0.0009292,12,38,157,120,121,121,17,201,272,73.9,1,5.88,51,21.07,15.45,35.5,0.26,201,0,0
0,45,18,27,1.71E-06,0.003666458,20.48148148,0.94017094,0.218937481,0.083048868,0.185950413,0.111570248,0.074380165,1.71E-06,1.71E-06,6,38,43,145,146,146,1,0,0,-1,1,100,4,1.65,100,0,-1,0,0,-1
0,8,1,7,0.006587812,0.001814288,3.285714286,0.25,0.037069726,0.153628012,0.033057851,0.02892562,0.004132231,0.006587812,0.006638086,9,7,157,120,121,121,36,587,1260,46.59,2,5.56,163,67.36,13.44,336.5,0.53,587,79.03,6
0,44,18,26,0.000303476,0.003859581,21.46153846,0.901538462,0.150455422,0.145300103,0.181818182,0.107438017,0.074380165,0.000303476,0.00030625,10,38,157,120,121,121,28,469,756,62.04,1,3.57,152,62.81,17.19,143.5,0.38,469,21.24,2
0,45,19,26,0.002384329,0.004312981,20.30769231,0.923076923,0.198690521,0.157915305,0.185950413,0.107438017,0.078512397,0.002384329,0.002476252,11,38,157,120,121,121,8,4,56,7.14,4,50,116,47.93,40.42,26,0.93,4,4,7
0,45,18,27,0.000435657,0.003864113,20.48148148,0.854700855,0.155866586,0.145300103,0.185950413,0.111570248,0.074380165,0.000435657,0.000492572,11,38,157,120,121,121,2,0,2,0,2,100,25,10.33,54.35,1,1,0,0,0
0,60,26,34,0.018808153,0.008354416,19.23529412,0.580769231,0.063675223,0.314368432,0.247933884,0.140495868,0.107438017,0.018808153,0.019157816,35,38,157,120,121,121,17,201,272,73.9,1,5.88,51,21.07,15.45,35.5,0.26,201,0,0
0,1,0,1,0,0.00156827,0,0,0,0,0.004132231,0.004132231,0,0,0,1,1,0,1,2,2,1,0,0,-1,1,100,2,0.83,100,0,-1,0,0,-1
0,32,24,8,0.002466163,0.005238658,6.125,0.735632184,0.112954542,0.123233804,0.132231405,0.033057851,0.099173554,0.002466163,0.002215555,12,25,43,145,146,146,27,492,702,70.09,1,3.7,121,50,13.36,105,0.3,492,0.11,0
0,1,0,1,0,0.00156827,0,0,0,0,0.004132231,0.004132231,0,0,0,1,1,0,1,2,2,2,0,2,0,2,100,20,8.26,86.96,1,1,0,0,0
0,9,1,8,0.000207156,0.001814288,3,0.142857143,0.039569778,0.153165973,0.037190083,0.033057851,0.004132231,0.000207156,0.000224697,6,7,157,120,121,121,29,509,812,62.68,1,3.45,137,56.61,14.51,151.5,0.37,509,6.65,0
0,8,8,0,0,0.004397245,0,0.178571429,0.26911315,0.132740714,0.033057851,0,0.033057851,0,0,7,6,159,0,1,1,10,66,90,73.33,1,10,40,16.53,15.81,12,0.27,66,0,0
0,30,25,5,0.002248406,0.00579543,8,0.761083744,0.136517664,0.125254031,0.123966942,0.020661157,0.103305785,0.002248406,0.001999085,8,25,43,145,146,146,8,2,56,3.57,6,75,66,27.27,62.26,27,0.96,2,0,0
0,2,0,2,0,0.00156827,0,0,0,0,0.008264463,0.008264463,0,0,0,2,1,0,2,3,3,24,413,552,74.82,1,4.17,114,47.11,13.8,69.5,0.25,413,25.68,4
0,5,2,3,0.00011439,0.001983204,0,0.1,0.012216405,0.125954853,0.020661157,0.012396694,0.008264463,0.00011439,0.000121248,4,4,158,3,4,4,14,6,182,3.3,9,64.29,77,31.82,55.4,88,0.97,6,0,0
0,4,0,4,0,0.00156827,0,0,1,0,0.016528926,0.016528926,0,0,0,4,2,0,4,5,5,36,578,1260,45.87,1,2.78,139,57.44,11.99,341,0.54,578,84.04,6
0,44,19,25,0.001289584,0.004038866,21,0.901538462,0.25987614,0.145507674,0.181818182,0.103305785,0.078512397,0.001289584,0.001270882,10,38,157,120,121,121,3,1,6,16.67,2,66.67,11,4.55,64.71,2.5,0.83,1,0,0
0,61,61,0,0,0.018628102,0,0.266120219,0.031584797,0.269124548,0.252066116,0,0.252066116,0,0,20,38,161,0,1,1,12,76,132,57.58,2,16.67,70,28.93,18.13,28,0.42,76,0,0
0,21,13,8,0.021881153,0.00402282,15,0.626315789,0.055699038,0.05399449,0.08677686,0.033057851,0.053719008,0.021881153,0.022673703,5,19,14,163,164,164,14,26,182,14.29,6,42.86,150,61.98,36.14,78,0.86,26,31,17
0,9,1,8,0.002439209,0.001814288,2.625,0.142857143,0.042380137,0.153165973,0.037190083,0.033057851,0.004132231,0.002439209,0.002440842,6,7,157,120,121,121,23,400,506,79.05,3,13.04,106,43.8,13.49,53,0.21,400,40,7
0,2,0,2,0,0.00156827,0,0,0.103448276,0,0.008264463,0.008264463,0,0,0,2,2,0,2,3,3,5,11,20,55,1,20,138,57.02,72.25,4.5,0.45,11,0,0
0,45,45,0,0,0.014808502,0,0.064646465,0.034762709,0.326446281,0.185950413,0,0.185950413,0,0,45,13,158,0,1,1,7,18,42,42.86,2,28.57,78,32.23,36.11,12,0.57,18,4.67,11
0,10,2,8,0.002358198,0.001909404,6.875,0.155555556,0.022357198,0.035261708,0.041322314,0.033057851,0.008264463,0.002358198,0.002417163,11,7,16,147,148,148,31,554,930,59.57,1,3.23,113,46.69,11.48,188,0.4,554,37.67,4
0,49,20,29,0.02474776,0.004520406,19.37931034,0.712643678,0.057260962,0.176525775,0.202479339,0.119834711,0.082644628,0.02474776,0.025500533,21,38,157,120,121,121,17,201,272,73.9,1,5.88,51,21.07,15.45,35.5,0.26,201,0,0
0,52,21,31,0.002490649,0.00574795,20.80645161,0.738636364,0.172770096,0.254003421,0.214876033,0.128099174,0.08677686,0.002490649,0.002509998,14,38,157,120,121,121,3,1,6,16.67,2,66.67,45,18.6,90,2.5,0.83,1,1,16
0,45,19,26,0.002384329,0.004312981,20.30769231,0.923076923,0.198690521,0.157915305,0.185950413,0.107438017,0.078512397,0.002384329,0.002476252,11,38,157,120,121,121,17,201,272,73.9,1,5.88,51,21.07,15.45,35.5,0.26,201,0,0
0,48,19,29,0.000289955,0.003916612,19.13793103,0.852216749,0.16317645,0.092054167,0.198347107,0.119834711,0.078512397,0.000289955,0.000349163,8,38,43,145,146,146,24,407,552,73.73,2,8.33,125,51.65,16.36,72.5,0.26,407,20.22,3
0,25,21,4,0.0021772,0.006010205,10.5,0.807971014,0.196693594,0.251494745,0.103305785,0.016528926,0.08677686,0.0021772,0.002182818,6,22,157,120,121,121,32,560,992,56.45,2,6.25,147,60.74,14.04,216,0.44,560,38.78,3
0,45,19,26,0.002384329,0.004312981,20.30769231,0.923076923,0.198690521,0.157915305,0.185950413,0.107438017,0.078512397,0.002384329,0.002476252,11,38,157,120,121,121,29,509,812,62.68,1,3.45,137,56.61,14.51,151.5,0.37,509,6.65,0
0,1,1,0,0,0.001769187,0,0,0,0.117357252,0.004132231,0,0.004132231,0,0,1,1,158,0,1,1,3,1,6,16.67,2,66.67,127,52.48,90.71,2.5,0.83,1,1,16
0,2,2,0,0,0.002465976,0,0,0.333333333,0.011478421,0.008264463,0,0.008264463,0,0,2,2,5,0,1,1,27,460,702,65.53,1,3.7,134,55.37,15.73,121,0.34,460,20.22,2
0,2,1,1,1.71E-05,0.002901272,0,0,0,0.004132231,0.008264463,0.004132231,0.004132231,1.71E-05,1.71E-05,2,1,1,1,2,2,5,2,20,10,4,80,56,23.14,68.29,9,0.9,2,0,0
0,55,26,29,0.005583708,0.008319437,22.06896552,0.685714286,0.098866875,0.314368432,0.227272727,0.119834711,0.107438017,0.005583708,0.005509676,22,38,157,120,121,121,1,0,0,-1,1,100,2,0.83,100,0,-1,0,0,-1
0,2,0,2,0,0.00156827,0,0,1,0,0.008264463,0.008264463,0,0,0,2,2,0,2,3,3,11,30,110,27.27,1,9.09,126,52.07,43,40,0.73,30,11.5,10
0,45,18,27,1.71E-06,0.003666458,20.48148148,0.94017094,0.218937481,0.083048868,0.185950413,0.111570248,0.074380165,1.71E-06,1.71E-06,6,38,43,145,146,146,27,492,702,70.09,1,3.7,121,50,13.36,105,0.3,492,0.11,0
0,22,20,2,0,0.005676955,17,1,0.404488306,0.250258899,0.090909091,0.008264463,0.082644628,0,0,1,22,157,120,121,121,1,0,0,-1,1,100,2,0.83,100,0,-1,0,0,-1
0,1,0,1,0,0.00156827,0,0,0,0,0.004132231,0.004132231,0,0,0,1,1,0,1,2,2,13,23,156,14.74,1,7.69,143,59.09,44.83,66.5,0.85,23,29,18
