bug,degree,in_degree,out_degree,betweenness,pagerank,average_neighbor_degree,clustering,square_clustering,closeness_centrality,degree_centrality,out_degree_centrality,in_degree_centrality,betweenness_centrality,load_centrality,number_of_cliques,core_number,number_ancestors,number_descendants,eccentricity,ripple_degree,Size,Ties,Pairs,Densit,nWeakC,pWeakC,2StepR,2StepP,ReachE,Broker,nBroke,nClose,EgoBet,nEgoBe
0,9,1,8,4.14E-06,0.000590645,79.625,0.472222222,0.019219291,0.001567398,0.014106583,0.012539185,0.001567398,4.14E-06,4.31E-06,5,9,1,494,495,495,131,10373,17030,60.91,1,0.76,458,71.79,1.69,3328.5,0.39,10373,2.94,0
0,312,59,253,0.001376686,0.001065991,63.17391304,0.465203118,0.038257845,0.211951996,0.489028213,0.396551724,0.092476489,0.001376686,0.00140131,5302,132,301,493,494,494,31,174,930,18.71,2,6.45,448,70.22,24.81,378,0.81,174,4.42,0
0,2,1,1,1.97E-06,0.00067188,3,0,0.4,0.009134148,0.003134796,0.001567398,0.001567398,1.97E-06,1.97E-06,2,2,13,7,8,8,124,8763,15252,57.45,1,0.81,458,71.79,1.76,3244.5,0.43,8763,3.57,0
0,194,65,129,0.001130102,0.001001527,25.85271318,0.524891372,0.026869528,0.213867224,0.304075235,0.202194357,0.101880878,0.001130102,0.001293703,3804,83,301,493,494,494,83,2394,6806,35.17,3,3.61,487,76.33,2.42,2206,0.65,2394,0,0
1,83,83,0,0,0.001025808,0,0.536585366,0.182792568,0.227620501,0.130094044,0,0.130094044,0,0,66,83,307,0,1,1,1,0,0,-1,1,100,36,5.64,100,0,-1,0,0,-1
0,83,83,0,0,0.001025808,0,0.536585366,0.182792568,0.227620501,0.130094044,0,0.130094044,0,0,66,83,307,0,1,1,131,10373,17030,60.91,1,0.76,458,71.79,1.69,3328.5,0.39,10373,2.94,0
1,2,2,0,0,0.000633091,0,1,1,0.107564318,0.003134796,0,0.003134796,0,0,1,2,302,0,1,1,282,22598,79242,28.52,1,0.35,459,71.94,1.12,28322,0.71,22598,513.87,0
0,258,0,258,0,0.00058708,61.96511628,0.357705185,0.066931527,0,0.404388715,0.404388715,0,0,0,353,132,0,503,504,504,4,11,12,91.67,1,25,306,47.96,38.39,0.5,0.08,11,0,0
0,1,0,1,0,0.00058708,11,0,0,0,0.001567398,0.001567398,0,0,0,1,1,0,494,495,495,40,343,1560,21.99,5,12.5,66,10.34,8.54,608.5,0.78,343,575.5,36
1,253,0,253,0,0.00058708,63.13438735,0.371980676,0.067654447,0,0.396551724,0.396551724,0,0,0,349,132,0,496,497,497,36,776,1260,61.59,1,2.78,381,59.72,21.44,242,0.38,776,2.35,0
1,134,6,128,4.66E-05,0.00074742,100.7890625,0.727731299,0.207202456,0.166285523,0.210031348,0.200626959,0.009404389,4.66E-05,4.66E-05,9,125,301,493,494,494,286,23000,81510,28.22,1,0.35,459,71.94,1.11,29255,0.72,23000,152.29,0
1,83,83,0,0,0.001025808,0,0.536585366,0.182792568,0.227620501,0.130094044,0,0.130094044,0,0,66,83,307,0,1,1,131,10373,17030,60.91,1,0.76,458,71.79,1.69,3328.5,0.39,10373,2.94,0
1,191,123,68,1.32E-05,0.002260484,104.6323529,0.917322372,0.108749361,0.233950308,0.299373041,0.106583072,0.192789969,1.32E-05,1.30E-05,162,132,301,493,494,494,283,22080,79806,27.67,1,0.35,460,72.1,1.13,28863,0.72,22080,365.62,0
0,1,1,0,0,0.000591198,0,0,0,0.151272993,0.001567398,0,0.001567398,0,0,1,1,302,0,1,1,83,2394,6806,35.17,3,3.61,487,76.33,2.42,2206,0.65,2394,0,0
1,191,123,68,1.32E-05,0.002260484,104.6323529,0.917322372,0.108749361,0.233950308,0.299373041,0.106583072,0.192789969,1.32E-05,1.30E-05,162,132,301,493,494,494,171,15167,29070,52.17,1,0.58,456,71.47,1.44,6951.5,0.48,15167,509.95,1
0,311,58,253,0.000366072,0.000900176,62.6916996,0.465804576,0.038234374,0.211636121,0.487460815,0.396551724,0.090909091,0.000366072,0.000394072,5313,132,301,493,494,494,131,10373,17030,60.91,1,0.76,458,71.79,1.69,3328.5,0.39,10373,2.94,0
0,1,1,0,0,0.000634042,0,0,0,0.093494426,0.001567398,0,0.001567398,0,0,1,1,302,0,1,1,12,49,132,37.12,2,16.67,354,55.49,32.69,41.5,0.63,49,12.85,9
0,1,1,0,0,0.00134632,0,0,0,0.076829287,0.001567398,0,0.001567398,0,0,1,1,303,0,1,1,1,0,0,-1,1,100,36,5.64,100,0,-1,0,0,-1
1,83,83,0,0,0.001025808,0,0.536585366,0.182792568,0.227620501,0.130094044,0,0.130094044,0,0,66,83,307,0,1,1,5,4,20,20,2,40,263,41.22,67.78,8,0.8,4,0,0
0,1,1,0,0,0.001447761,0,0,0,0.089360065,0.001567398,0,0.001567398,0,0,1,1,304,0,1,1,81,2389,6480,36.87,2,2.47,467,73.2,2.35,2045.5,0.63,2389,0,0
1,110,86,24,0.001450971,0.001214051,97.66666667,0.675736961,0.152817587,0.220509064,0.172413793,0.037617555,0.134796238,0.001450971,0.001536295,72,100,301,493,494,494,83,2394,6806,35.17,3,3.61,487,76.33,2.42,2206,0.65,2394,0,0
1,207,78,129,9.60E-05,0.001147625,99.10852713,0.796624809,0.072905418,0.217803431,0.324451411,0.202194357,0.122257053,9.60E-05,9.54E-05,436,132,301,493,494,494,11,13,110,11.82,4,36.36,102,15.99,38.64,48.5,0.88,13,0,0
1,83,83,0,0,0.001025808,0,0.536585366,0.182792568,0.227620501,0.130094044,0,0.130094044,0,0,66,83,307,0,1,1,84,3484,6972,49.97,1,1.19,459,71.94,2.28,1744,0.5,3484,3.97,0
0,237,0,237,0,0.00058708,54.46835443,0.316706,0.075368981,0,0.371473354,0.371473354,0,0,0,127,121,0,496,497,497,3,5,6,83.33,1,33.33,305,47.81,41.95,0.5,0.17,5,0,0
0,1,1,0,0,0.000625785,0,0,0,0.008277821,0.001567398,0,0.001567398,0,0,1,1,13,0,1,1,297,22266,87912,25.33,2,0.67,479,75.08,1.17,32823,0.75,22266,4043,4
0,1,1,0,0,0.001861993,0,0,0,0.07568778,0.001567398,0,0.001567398,0,0,1,1,317,0,1,1,83,2394,6806,35.17,3,3.61,487,76.33,2.42,2206,0.65,2394,0,0
1,7,6,1,0,0.001547956,2,1,0.302463504,0.107990751,0.010971787,0.001567398,0.009404389,0,0,1,7,301,493,494,494,18,117,306,38.24,1,5.56,153,23.98,37.5,94.5,0.62,117,7.62,2
0,6,6,0,0,0.000604511,0,0.333333333,0.177166918,0.009404389,0.009404389,0,0.009404389,0,0,5,6,6,0,1,1,4,3,12,25,1,25,314,49.22,61.69,4.5,0.75,3,0,0
0,11,4,7,0.000841523,0.000768256,28.85714286,0.611111111,0.070648216,0.111641381,0.017241379,0.010971787,0.006269592,0.000841523,0.000841523,4,9,301,493,494,494,81,2389,6480,36.87,2,2.47,467,73.2,2.35,2045.5,0.63,2389,0,0
1,83,83,0,0,0.001025808,0,0.536585366,0.182792568,0.227620501,0.130094044,0,0.130094044,0,0,66,83,307,0,1,1,12,50,132,37.88,1,8.33,188,29.47,63.73,41,0.62,50,2,1
1,191,123,68,1.32E-05,0.002260484,104.6323529,0.917322372,0.108749361,0.233950308,0.299373041,0.106583072,0.192789969,1.32E-05,1.30E-05,162,132,301,493,494,494,6,5,30,16.67,1,16.67,275,43.1,23.58,12.5,0.83,5,0,0
1,168,117,51,1.38E-05,0.002609596,76.56862745,0.905061631,0.104899991,0.231660419,0.263322884,0.079937304,0.18338558,1.38E-05,1.36E-05,102,132,301,493,494,494,282,22079,79242,27.86,1,0.35,460,72.1,1.13,28581.5,0.72,22079,89.78,0
0,59,55,4,0.003192913,0.011809712,0,0.168907072,0.007713965,0.257062734,0.092476489,0.006269592,0.086206897,0.003192913,0.003192972,51,19,330,4,5,5,83,2394,6806,35.17,3,3.61,487,76.33,2.42,2206,0.65,2394,0,0
0,81,81,0,0,0.001013429,0,0.562654321,0.251385309,0.223826826,0.126959248,0,0.126959248,0,0,63,81,307,0,1,1,124,8763,15252,57.45,1,0.81,458,71.79,1.76,3244.5,0.43,8763,3.57,0
0,81,81,0,0,0.001013429,0,0.562654321,0.251385309,0.223826826,0.126959248,0,0.126959248,0,0,63,81,307,0,1,1,4,2,12,16.67,2,50,270,42.32,97.47,5,0.83,2,0,0
0,2,2,0,0,0.000842293,0,0,0.003355705,0.151954862,0.003134796,0,0.003134796,0,0,2,2,303,0,1,1,171,15386,29070,52.93,1,0.58,458,71.79,1.44,6842,0.47,15386,6,0
1,191,123,68,1.32E-05,0.002260484,104.6323529,0.917322372,0.108749361,0.233950308,0.299373041,0.106583072,0.192789969,1.32E-05,1.30E-05,162,132,301,493,494,494,1,0,0,-1,1,100,140,21.94,100,0,-1,0,0,-1
1,83,83,0,0,0.001025808,0,0.536585366,0.182792568,0.227620501,0.130094044,0,0.130094044,0,0,66,83,307,0,1,1,181,1265,32580,3.88,6,3.31,495,77.59,4.75,15657.5,0.96,1265,3794.34,11
1,8,6,2,0.001210612,0.002009721,129.5,0.952380952,0.15506888,0.107990751,0.012539185,0.003134796,0.009404389,0.001210612,0.001210612,2,7,301,493,494,494,86,2453,7310,33.56,2,2.33,467,73.2,2.33,2428.5,0.66,2453,0,0
0,52,21,31,1.23E-06,0.00158048,23.35483871,0.934046346,0.191358811,0.1210638,0.081504702,0.048589342,0.032915361,1.23E-06,1.26E-06,11,41,301,493,494,494,83,2394,6806,35.17,3,3.61,487,76.33,2.42,2206,0.65,2394,0,0
0,83,83,0,0,0.001025808,0,0.536585366,0.182792568,0.227620501,0.130094044,0,0.130094044,0,0,66,83,307,0,1,1,3,1,6,16.67,2,66.67,265,41.54,35.15,2.5,0.83,1,0,0
1,198,82,116,0.00010011,0.001121997,96.69827586,0.828583796,0.084122447,0.219147897,0.310344828,0.181818182,0.128526646,0.00010011,0.000112168,240,132,301,493,494,494,172,15407,29412,52.38,1,0.58,484,75.86,1.52,7002.5,0.48,15407,9.04,0
1,271,9,262,0.004199758,0.000842471,63.12977099,0.353017375,0.054737938,0.138139919,0.42476489,0.410658307,0.014106583,0.004199758,0.005230361,466,132,301,493,494,494,20,112,380,29.47,1,5,439,68.81,44.98,134,0.71,112,0,0
1,81,81,0,0,0.001013429,0,0.562654321,0.251385309,0.223826826,0.126959248,0,0.126959248,0,0,63,81,307,0,1,1,5,2,20,10,4,80,30,4.7,57.69,9,0.9,2,0,0
1,191,123,68,1.32E-05,0.002260484,104.6323529,0.917322372,0.108749361,0.233950308,0.299373041,0.106583072,0.192789969,1.32E-05,1.30E-05,162,132,301,493,494,494,7,35,42,83.33,1,14.29,340,53.29,37.36,3.5,0.17,35,0,0
1,417,162,255,0.012230465,0.004111245,62.67058824,0.47301705,0.039789022,0.250013798,0.653605016,0.39968652,0.253918495,0.012230465,0.012244314,4926,132,301,493,494,494,4,11,12,91.67,1,25,306,47.96,38.39,0.5,0.08,11,0,0
0,55,23,32,0.001585198,0.001899114,23.34375,0.905882353,0.147223522,0.12127057,0.086206897,0.05015674,0.036050157,0.001585198,0.001586497,12,41,301,493,494,494,83,2394,6806,35.17,3,3.61,487,76.33,2.42,2206,0.65,2394,0,0
1,191,123,68,1.32E-05,0.002260484,104.6323529,0.917322372,0.108749361,0.233950308,0.299373041,0.106583072,0.192789969,1.32E-05,1.30E-05,162,132,301,493,494,494,131,10373,17030,60.91,1,0.76,458,71.79,1.69,3328.5,0.39,10373,2.94,0
1,191,123,68,1.32E-05,0.002260484,104.6323529,0.917322372,0.108749361,0.233950308,0.299373041,0.106583072,0.192789969,1.32E-05,1.30E-05,162,132,301,493,494,494,242,12233,58322,20.97,1,0.41,333,52.19,1.1,23044.5,0.79,12233,1574,2
0,3,2,1,0,0.002073141,3,1,0.315789474,0.088127312,0.004702194,0.001567398,0.003134796,0,0,1,3,316,27,28,28,3,4,6,66.67,1,33.33,185,29,70.34,1,0.33,4,0,0
0,6,4,2,0,0.003662651,7,1,1,0.091870008,0.009404389,0.003134796,0.006269592,0,0,1,6,324,7,8,8,32,704,992,70.97,1,3.13,381,59.72,22.56,144,0.29,704,1.04,0
